date,sz000001,sz000002,sz000004,sz000006,sz000007,sz000008,sz000009
2022-01-05,0.029581529581529598,0.03269754768392352,0.10005002501250626,-0.004640371229698292,0.043338683788122,-0.03389830508474578,-0.013768115942029091
2022-01-06,-0.0021023125437981127,-0.005277044854881119,-0.003183265120509149,0.002331002331002363,0.04615384615384621,0.04561403508771922,0.02571638501102136
2022-01-07,0.004915730337078594,0.039787798408488007,-0.03649635036496357,0.0046511627906977715,-0.00588235294117645,-0.04026845637583898,-0.017191977077363862
2022-01-10,-0.0006988120195666747,0.012244897959183598,0.017992424242424088,0.011574074074073959,-0.050295857988165715,-0.0034965034965034336,0.008017492711370311
2022-01-11,0.012587412587412583,0.0065524193548387455,-0.019069767441860508,0.004576659038901587,-0.006230529595015577,-0.03157894736842115,0.0
2022-01-12,-0.023480662983425438,-0.011517275913870861,0.0104314841156945,-0.013667425968109215,0.03918495297805635,0.007246376811594235,0.03615328994938549
2022-01-13,-0.0007072135785006761,-0.023302938196555045,0.01313937118723607,0.002309468822170757,-0.010558069381598867,-0.025179856115107868,-0.04187020237264483
2022-01-14,-0.03821656050955424,-0.03890041493775931,0.005558128763316406,-0.025345622119815503,-0.0030487804878047697,0.01845018450184499,0.036416605972323435
2022-01-17,-0.00735835172921262,0.00863464651915824,0.036849378166743385,0.014184397163120366,0.02752293577981657,-0.0036231884057970065,0.007027406886858767
2022-01-18,0.018532246108228234,0.03424291064740492,0.02043536206130603,0.0,0.03125,0.0036363636363636598,0.01535240753663647
2022-01-19,-0.0007278020378457262,0.014485256078634379,-0.03787548976926414,0.00932400932400923,-0.0505050505050505,0.03623188405797095,-0.027491408934707917
2022-01-20,0.050254916241806225,0.009688934217236156,-0.03438914027149331,-0.004618937644341958,0.03039513677811545,-0.04195804195804187,-0.02473498233215543
2022-01-21,0.0006934812760055475,-0.02121212121212135,-0.010309278350515427,-0.004640371229698292,0.008849557522123908,-0.03649635036496357,0.005072463768115876
2022-01-24,-0.008316008316008316,0.0025799793601650745,0.015625,-0.009324009324009341,0.011695906432748648,0.011363636363636243,0.020187454938716654
2022-01-25,-0.020265548567435454,-0.04065877509006688,-0.05641025641025643,-0.040000000000000036,-0.014450867052023031,-0.05617977528089879,-0.05229681978798584
2022-01-26,-0.012125534950071293,-0.0042918454935623185,0.09980237154150218,0.009803921568627416,-0.04985337243401755,0.02777777777777768,-0.01864280387770323
2022-01-27,-0.02093862815884473,-0.014008620689655027,-0.08355795148247991,-0.01941747572815533,-0.04938271604938271,-0.027027027027026973,-0.037234042553191515
2022-01-28,-0.028761061946902644,-0.005464480874317057,0.02303921568627465,0.00990099009900991,0.03409090909090917,0.011904761904761862,-0.0031570639305444903
2022-02-07,0.03568716780561898,0.02857142857142847,0.03114518447532344,0.02450980392156854,0.014128728414442682,-0.015686274509803977,0.0387965162311954
2022-02-08,0.02639296187683282,-0.0016025641025639858,0.04321561338289959,0.03349282296650724,0.017027863777089758,0.047808764940239,0.01371951219512213
2022-02-09,0.002142857142857002,-0.018191546281433935,0.020044543429843964,0.0,0.00913242009132409,0.015209125475285079,0.005263157894736636
2022-02-10,0.0071275837491091565,0.01743869209809268,-0.014847161572052348,0.0023148148148146586,0.009049773755656076,-0.0074906367041198685,-0.008227374719521285
2022-02-11,0.007077140835102691,0.01553294054633092,0.05984042553191493,0.002309468822170757,-0.04932735426008972,-0.037735849056603765,-0.023378582202111642
2022-02-14,-0.03092059030217853,-0.044303797468354444,-0.05353408615641997,-0.016129032258064613,0.0015723270440251014,-0.0117647058823529,0.0038610038610038533
2022-02-15,-0.0181290790427846,-0.020971302428256178,0.03888643393725144,-0.007025761124121677,0.028257456828885363,0.003968253968253954,0.02076923076923065
2022-02-16,0.008124076809453484,0.009582863585118506,0.02509570395576355,0.007075471698112956,0.010687022900763399,0.0039525691699606735,0.0015071590052750938
2022-02-17,0.00073260073260073,-0.01005025125628134,-0.08298755186721996,-0.007025761124121677,-0.004531722054380682,0.03149606299212593,0.0451467268623027
2022-02-18,0.021229868228404003,0.03440496333897336,-0.0036199095022625416,0.01650943396226401,0.006069802731411222,0.09923664122137388,-0.009359251259899226
2022-02-21,-0.01505376344086018,0.010359869138495181,0.019981834695731227,0.006960556844547661,0.003016591251885359,0.0,-0.003633720930232509
2022-02-22,-0.017467248908296984,-0.002698327037236936,-0.05253784505788062,-0.004608294930875445,-0.009022556390977488,0.0625,-0.011670313639679075
2022-02-23,-0.0022222222222221255,-0.018398268398268414,0.010338345864661536,-0.006944444444444531,0.004552352048558417,-0.02287581699346397,0.039852398523985144
2022-02-24,-0.017074981440237558,-0.02094818081587646,-0.039999999999999925,-0.030303030303030276,-0.004531722054380682,-0.04682274247491647,-0.026259758694109236
2022-02-25,-0.0007552870090634656,-0.015202702702702853,0.05474806201550386,0.0,0.0,-0.01754385964912286,0.005830903790087438
2022-02-28,-0.009826152683295564,-0.01715265866209248,-0.009186954524575075,-0.007211538461538547,-0.050075872534142696,-0.02857142857142847,-0.01666666666666672
2022-03-01,0.010687022900763399,0.009307737056428067,0.0037088548910522157,0.009685230024213176,0.01437699680511173,0.018382352941176405,0.01915991156963881
2022-03-02,-0.015105740181268978,-0.0028818443804035088,0.002309468822170979,0.007194244604316502,0.03937007874015741,0.0,-0.010845986984815648
2022-03-03,0.0023006134969325576,0.00867052023121384,-0.021198156682027736,0.014285714285714235,-0.0015151515151514694,-0.0036101083032491488,-0.02631578947368418
2022-03-04,-0.02448355011476666,-0.04011461318051568,0.011299435028248705,-0.009389671361502372,-0.004552352048558417,-0.018115942028985477,-0.024024024024024038
2022-03-07,-0.039215686274509776,-0.008955223880596885,-0.02281191806331484,-0.009478672985781977,-0.021341463414634054,0.0036900369003691758,-0.06153846153846154
2022-03-08,-0.02857142857142858,-0.046987951807229034,-0.05145307289185319,-0.019138755980861233,-0.034267912772585674,-0.02941176470588236,-0.030327868852458972
2022-03-09,-0.032773109243697474,-0.03919089759797734,-0.041687594173782094,-0.03414634146341455,0.024193548387096753,-0.018939393939394034,-0.023668639053254337
2022-03-10,0.052997393570807905,-0.011842105263157876,-0.007861635220125729,0.022727272727272707,0.006299212598425141,0.007722007722007707,0.016450216450216493
2022-03-11,0.02310231023102327,-0.007323568575232975,0.03063919704173279,0.0,-0.0500782472613458,0.0,0.017035775127768327
2022-03-14,-0.028225806451612878,-0.03353454057679406,-0.009738595592004184,-0.02716049382716046,-0.018121911037891292,-0.03065134099616862,-0.04103852596314905
2022-03-15,-0.05560165975103737,-0.08049965301873696,-0.037267080745341574,-0.053299492385786795,-0.01845637583892623,-0.06324110671936745,-0.068122270742358
2022-03-16,0.04569420035149374,0.04830188679245295,0.019354838709677358,0.03217158176943702,0.03589743589743599,0.029535864978902815,0.056232427366447846
2022-03-17,0.010084033613445342,0.07487401007919359,0.01793248945147674,0.033766233766233666,0.013201320132013139,0.008196721311475308,0.05235137533274181
2022-03-18,0.017470881863560717,0.04621567314132613,0.023316062176165664,0.027638190954773822,0.014657980456026287,0.012195121951219523,-0.012647554806070715
2022-03-21,-0.007358953393295176,-0.03713188220230479,-0.007088607594936791,0.004889975550122383,0.008025682182985605,0.02008032128514059,0.011955593509820561
2022-03-22,0.04036243822075791,0.046542553191489366,0.09994900560938302,0.038929440389294134,-0.015923566878981,0.09842519685039375,-0.0025316455696201556
2022-03-23,-0.01187648456057011,0.019059720457433205,-0.04079740380157626,0.016393442622950838,0.008090614886731462,-0.043010752688172116,0.005076142131979822
2022-03-24,0.013621794871794934,-0.0243142144638403,-0.018366360560657435,-0.004608294930875445,0.0016051364365969878,-0.02621722846441943,-0.002525252525252597
2022-03-25,-0.015019762845849716,-0.003833865814696469,-0.02117183653372723,0.0185185185185186,0.0,-0.007692307692307665,-0.02278481012658229
2022-03-28,-0.00882825040128421,0.02052597819114821,0.025653923541247625,0.02954545454545454,-0.0064102564102563875,0.0,-0.002590673575129432
2022-03-29,-0.011336032388663875,-0.01634192331866746,0.0,-0.013245033112582849,-0.011290322580645218,-0.023255813953488413,-0.03463203463203468
2022-03-30,0.03603603603603589,0.08562300319488814,0.009318293281020074,0.09843400447427308,0.019575856443719397,0.031746031746031855,0.043049327354260036
2022-03-31,0.011857707509881354,0.009417304296645002,-0.027696793002915276,-0.0020366598778003286,0.012799999999999923,-0.023076923076923106,-0.05159071367153922
2022-04-01,0.0234375,0.07871720116618075,-0.022488755622188994,0.05306122448979589,0.03633491311216419,0.003937007874015741,0.013599274705349051
2022-04-06,0.04122137404580162,0.027027027027026973,0.024028629856850836,0.03100775193798455,0.021341463414634276,0.0235294117647058,-0.025044722719141266
2022-04-07,-0.007331378299120339,-0.01473684210526327,-0.030454318522216695,-0.07330827067669188,-0.005970149253731294,-0.026819923371647403,-0.026605504587156048
