,sh600000,sh600009,sh600016
1970-01-01 00:00:00.000000001,0.008253094910591452,0.006534569983136729,0.0032679738562091387
1970-01-01 00:00:00.000000002,-0.008185538881309795,0.0033507853403140775,-0.0032573289902279035
1970-01-01 00:00:00.000000003,0.016506189821182904,0.02024629513671483,0.009803921568627416
1970-01-01 00:00:00.000000004,0.0013531799729364913,0.0,0.003236245954692629
1970-01-01 00:00:00.000000005,0.0013513513513512265,-0.007569558101473084,0.006451612903225712
1970-01-01 00:00:00.000000006,-0.005398110661268607,0.0026798598227171233,-0.0064102564102563875
1970-01-01 00:00:00.000000007,0.004070556309362372,-0.009251644736842146,0.009677419354838568
1970-01-01 00:00:00.000000008,-0.014864864864864935,-0.011205644324548625,-0.019169329073482455
1970-01-01 00:00:00.000000009,-0.002743484224965731,-0.008814270724029405,0.0
1970-01-01 00:00:00.000000010,0.00687757909215958,0.02201990260427711,0.009771986970684043
1970-01-01 00:00:00.000000011,0.001366120218579292,0.00621504039776255,0.0
1970-01-01 00:00:00.000000012,0.01909959072305578,0.02779493514515141,0.006451612903225712
1970-01-01 00:00:00.000000013,-0.0053547523427041055,0.03605769230769229,-0.0064102564102563875
1970-01-01 00:00:00.000000014,-0.008075370121130465,-0.010634184068058716,0.0
1970-01-01 00:00:00.000000015,-0.014925373134328401,-0.006449091264412732,-0.016129032258064613
1970-01-01 00:00:00.000000016,0.0013774104683195176,-0.02261998426435885,0.003278688524590345
1970-01-01 00:00:00.000000017,-0.01375515818431905,-0.020527269068222886,-0.009803921568627527
1970-01-01 00:00:00.000000018,-0.004184100418410108,0.01438257653585362,0.0
1970-01-01 00:00:00.000000019,0.0126050420168069,0.03382621024913912,0.00990099009900991
1970-01-01 00:00:00.000000020,0.015214384508990264,0.037617554858934144,0.019607843137254832
1970-01-01 00:00:00.000000021,-0.0013623978201634523,0.02832326283987907,-0.0032051282051283048
1970-01-01 00:00:00.000000022,0.005457025920873049,0.03764230627983833,0.003215434083601254
1970-01-01 00:00:00.000000023,0.006784260515603879,-0.006901433374624011,0.0032051282051281937
1970-01-01 00:00:00.000000024,-0.016172506738544534,0.0008909479686387556,-0.009584664536741117
1970-01-01 00:00:00.000000025,-0.005479452054794498,-0.032223606907601954,-0.006451612903225823
1970-01-01 00:00:00.000000026,0.004132231404958775,0.009381898454746018,0.0032467532467532756
