,sz000001,sz000002,sz000004,sz000006,sz000007,sz000008,sz000009,sz000010,sz000011,sz000012,sz000014,sz000016,sz000017,sz000019,sz000020,sz000021,sz000025,sz000026,sz000027,sz000028,sz000029,sz000030,sz000031,sz000032,sz000034,sz000035,sz000036,sz000037,sz000039,sz000042,sz000045,sz000048,sz000049,sz000050,sz000055,sz000056,sz000058,sz000059,sz000060,sz000061,sz000062,sz000063,sz000065,sz000066,sz000068,sz000069,sz000070,sz000078,sz000088,sz000089,sz000090,sz000096,sz000099,sz000100,sz000151,sz000153,sz000155,sz000156,sz000157,sz000158,sz000159,sz000166,sz000301,sz000333,sz000338,sz000400,sz000401,sz000402,sz000403,sz000404,sz000407,sz000408,sz000409,sz000410,sz000411,sz000415,sz000417,sz000419,sz000420,sz000421,sz000422,sz000423,sz000425,sz000426,sz000428,sz000429,sz000430,sz000488,sz000498
1970-01-01 00:00:00.000000001,0.029581529581529598,0.03269754768392352,0.10005002501250626,-0.004640371229698292,0.043338683788122,-0.03389830508474578,-0.013768115942029091,0.02088772845953013,-0.016409266409266432,-0.027180067950169917,0.001524390243902607,0.007473841554558991,-0.008130081300812941,0.0015873015873015817,0.0043057050592034685,-0.01935483870967747,-0.0119760479041916,-0.029569892473118253,-0.021621621621621623,-0.017228464419475675,0.0038461538461538325,-0.02777777777777779,0.0,-0.002457002457002533,0.015614834092387841,-0.008635578583765069,0.0,-0.026282853566958697,-0.014478764478764394,0.0,-0.016967126193001114,-0.0013404825737265424,-0.08605463134113778,-0.0076045627376425395,0.006224066390041472,0.10015898251192357,-0.01911764705882346,0.005830903790087438,-0.013015184381778844,-0.0015948963317383713,0.018111254851228997,-0.014111610006414366,-0.013280212483399834,0.017820424948594926,0.017191977077363862,0.07433380084151486,-0.0030120481927710108,-0.030898876404494402,0.00411522633744843,-0.004160887656033285,0.010224948875255713,0.019464720194647178,-0.023201856148491795,0.013133208255159623,0.03248259860788871,-0.04477611940298498,-0.026326786460509788,-0.0012987012987012436,0.006814310051107331,-0.005540166204986208,0.007374631268436627,-0.0020746887966806016,-0.0010787486515642097,0.01203293223559232,0.00917431192660545,-0.03988245172124261,0.0009242144177448175,0.0017636684303350414,-0.035063113604488105,-0.016826923076923128,-0.009345794392523366,-0.05035279025016037,-0.028528528528528607,-0.017857142857142794,-0.08120035304501327,-0.009999999999999898,-0.004750593824227933,-0.0023696682464454666,-0.038817005545286554,-0.008620689655172376,-0.03925619834710736,-0.016961473225102996,0.0,-0.016597510373444035,-0.015105740181268978,0.006722689075630228,-0.003868471953578201,-0.008141112618724633,-0.0017482517482516613
1970-01-01 00:00:00.000000002,-0.0021023125437981127,-0.005277044854881119,-0.003183265120509149,0.002331002331002363,0.04615384615384621,0.04561403508771922,0.02571638501102136,-0.007672634271099765,0.007850834151128527,0.002328288707799775,0.0182648401826484,-0.014836795252225587,0.010928961748633892,0.0,0.019292604501607746,-0.002631578947368318,0.005387205387205496,0.009233610341643494,0.0027624309392264568,0.007240853658536661,0.01404853128991057,0.0117647058823529,0.010582010582010692,0.03201970443349755,-0.004484304932735439,0.010452961672473782,0.00691244239631339,0.006426735218509005,0.007835455435847072,0.016009852216748888,-0.005393743257820827,-0.008053691275167862,0.01752808988764043,0.0022988505747125743,0.01030927835051565,0.026011560693641522,-0.004497751124437843,0.04347826086956519,0.00219780219780219,-0.0015974440894568342,-0.022236340533672183,0.0042290175666883645,0.016150740242261152,-0.0033670033670032407,0.025352112676056526,-0.005221932114882533,-0.0030211480362538623,0.017391304347825987,0.0,-0.00835654596100277,-0.002024291497975894,0.0011933174224343368,0.0011876484560569,-0.007407407407407418,0.006741573033707926,0.05859375000000022,0.0193133047210301,0.0013003901170349774,0.021996615905245376,-0.0069637883008356605,-0.014641288433382083,-0.006237006237006071,0.07019438444924408,-0.01689612015018771,0.003896103896103842,0.046348928727590666,0.016620498614958512,0.0035211267605634866,-0.0019379844961240345,0.022004889975550057,0.014150943396226356,0.06720702465383321,0.10046367851622873,-0.010101010101010055,0.09990393852065305,-0.006734006734006703,0.009546539379474916,0.004750593824228044,0.013461538461538414,0.0021739130434783593,0.036021505376343965,0.007394626571358032,0.014925373134328401,0.007032348804500765,0.012269938650306678,0.0033388981636059967,0.0019417475728153999,0.008207934336525335,0.05604203152364273
1970-01-01 00:00:00.000000003,0.004915730337078594,0.039787798408488007,-0.03649635036496357,0.0046511627906977715,-0.00588235294117645,-0.04026845637583898,-0.017191977077363862,-0.010309278350515427,0.0107108081791627,-0.010452961672473893,-0.01195814648729443,0.004518072289156683,-0.018918918918918948,-0.009508716323296307,-0.011566771819137678,-0.01319261213720313,-0.010716677829872734,-0.014638609332113472,0.0013774104683195176,-0.004161937192584175,0.018891687657430767,-0.00830564784053156,0.023560209424083878,0.05727923627684972,-0.003217503217503137,-0.008620689655172376,-0.0022883295194507935,-0.03831417624521072,0.008746355685131268,0.02666666666666684,-0.024945770065075923,-0.006089309878213767,-0.05388692579505294,0.000764525993883769,-0.01224489795918382,0.06760563380281703,-0.04668674698795172,-0.004166666666666652,0.006578947368421018,-0.01760000000000006,-0.02079272254710851,0.012309685779073432,-0.017218543046357615,-0.025675675675675746,-0.03571428571428581,0.009186351706036877,-0.021212121212121127,-0.019943019943019946,-0.002049180327868827,-0.001404494382022392,0.008113590263691739,-0.01191895113230057,-0.027283511269276417,0.011194029850746245,-0.02343750000000011,-0.03444034440344412,-0.03873684210526318,-0.012987012987013102,0.0331125827814569,-0.028050490883590462,-0.002971768202080338,0.0,0.003531786074671972,0.03739656269891789,-0.009055627425614499,-0.007521938988717114,0.010899182561308063,0.015789473684210575,-0.018446601941747742,-0.02631578947368407,0.0,-0.0810126582278482,0.00561797752808979,0.0020408163265306367,-0.031441048034934416,-0.01016949152542379,-0.009456264775413725,-0.011820330969267268,-0.04364326375711569,-0.015184381778741929,-0.029579657498702616,-0.047712258380229855,0.014705882352941124,-0.0027932960893854997,-0.033333333333333326,-0.008319467554076532,-0.036821705426356655,0.0027137042062415073,0.036484245439469376
1970-01-01 00:00:00.000000004,-0.0006988120195666747,0.012244897959183598,0.017992424242424088,0.011574074074073959,-0.050295857988165715,-0.0034965034965034336,0.008017492711370311,-0.00520833333333337,0.00481695568400764,-0.005868544600938885,0.030257186081694254,-0.014992503748125885,0.005509641873278293,0.014399999999999968,0.0,-0.006016042780748743,0.0020311442112390665,0.01578458681522754,0.004126547455295837,0.0026595744680850686,-0.003708281829418958,-0.00335008375209378,0.010230179028132946,0.09977426636568842,-0.0006455777921239303,0.006956521739130528,0.006880733944953921,0.003984063745019917,0.0009633911368014392,0.021251475796930208,0.0033370411568409697,0.03403675970047648,0.017973856209150263,0.0022918258212374365,0.0020661157024792765,0.01187335092348274,0.012638230647709303,0.01115760111576014,0.002178649237472685,0.01140065146579805,0.0033178500331785266,0.032319999999999904,0.0026954177897575704,0.06449375866851592,-0.014245014245014231,0.020806241872561637,0.003095975232198178,0.026162790697674465,-0.002053388090349051,0.0014064697609001975,0.03621730382293764,0.0024125452352232735,0.003658536585366079,0.011070110701107083,-0.008000000000000007,-0.003821656050955302,0.004818221638195563,-0.006578947368421018,0.0,0.0028860028860029363,0.0,0.006276150627614996,-0.03469079939668185,0.00030679552078538563,0.016971279373368064,0.0029473684210525875,-0.0008984725965859308,0.013816925734024155,-0.00642927794263104,-0.002457002457002644,0.020930232558139528,-0.02203856749311295,0.009776536312849249,0.0020366598778003286,0.01623083859332719,0.0034246575342467,0.009546539379474916,-0.0023923444976076125,0.005952380952380931,0.004405286343612147,-0.01443850267379676,0.0066803699897224345,0.0018115942028986698,0.004201680672268893,-0.0031347962382444194,-0.001677852348993203,0.010060362173038184,0.012178619756427755,0.033600000000000074
1970-01-01 00:00:00.000000005,0.012587412587412583,0.0065524193548387455,-0.019069767441860508,0.004576659038901587,-0.006230529595015577,-0.03157894736842115,0.0,0.0,0.011505273250239867,0.009445100354191327,0.03671071953010285,0.0015220700152207556,0.0,-0.01104100946372244,0.0010638297872340718,-0.021519838601210428,-0.0013513513513514486,0.005484460694698434,-0.005479452054794498,0.019704433497536922,-0.007444168734491385,0.01680672268907557,0.012658227848101111,-0.043924466338259416,-0.016149870801033583,0.005181347150259086,0.006833712984054774,0.019841269841269993,-0.010587102983638186,-0.017341040462427793,-0.009977827050997812,-0.016458196181698526,-0.002751662462737836,-0.010670731707317027,0.0,0.0026075619295959918,-0.01092043681747279,-0.0055172413793103114,0.008695652173912993,-0.004830917874396157,-0.005291005291005346,-0.012089274643521275,-0.008064516129032362,0.0006514657980456473,0.0,0.01146496815286624,0.01851851851851838,0.0,-0.002057613168724437,0.001404494382022392,0.007766990291262044,-0.00962695547533099,-0.013365735115431487,-0.02007299270072993,0.02764976958525356,0.002557544757033181,-0.04010462074978216,0.0013245033112583293,-0.009615384615384692,-0.012949640287769792,0.007451564828613977,0.0,-0.01718749999999991,-0.028369881919950823,-0.02695763799743256,-0.03610411418975645,0.010791366906474975,0.006814310051107331,-0.0014932802389249211,0.009852216748768461,-0.011389521640091105,-0.017605633802816878,-0.06085753803596128,-0.012195121951219412,0.042590949423247704,-0.0068259385665528916,-0.004728132387706974,0.0,-0.013806706114398493,0.006578947368421018,0.09820944112859453,0.09979581419091388,-0.005424954792043413,0.009762900976290068,0.0,0.018487394957983128,-0.009960159362549792,-0.006684491978609763,0.017027863777089758
1970-01-01 00:00:00.000000006,-0.023480662983425438,-0.011517275913870861,0.0104314841156945,-0.013667425968109215,0.03918495297805635,0.007246376811594235,0.03615328994938549,0.023560209424083878,-0.013270142180094813,-0.008187134502923965,-0.014164305949008416,-0.00455927051671734,0.024657534246575352,0.04465709728867617,0.029755579171094615,0.008247422680412342,0.008119079837618504,-0.009090909090909038,0.0013774104683195176,-0.011148272017837302,0.010000000000000009,0.0016528925619834212,-0.012499999999999956,-0.02361528553027048,0.0026263952724885353,-0.0068728522336769515,0.0,0.0,0.006809338521400754,-0.003529411764705781,0.016797312430011146,0.006693440428380271,0.03426074959760861,0.0038520801232664326,0.004123711340206171,0.09362808842652792,0.012618296529968376,0.012482662968099856,0.012931034482758674,0.004854368932038833,0.039893617021276695,-0.002510197678067261,0.0013550135501354532,-0.004557291666666741,0.046242774566473965,0.0,-0.009090909090909038,0.019830028328611915,0.0,0.008415147265077305,-0.019267822736030893,0.013365735115431265,0.014778325123152802,0.005586592178770999,0.01905829596412545,0.03316326530612246,0.021798365122615904,-0.001322751322751281,-0.006472491909385147,0.002915451895043608,-0.002958579881656709,0.0020790020790022457,0.025437201907790197,-0.01736111111111116,-0.00461741424802109,0.05966898954703814,-0.018683274021352392,-0.005076142131979711,0.027417746759720973,-0.0024390243902439046,-0.0023041474654377225,-0.021146953405017932,0.025036818851251752,0.008230452674897082,-0.009361702127659521,-0.0068728522336769515,0.004750593824228044,0.011990407673860837,0.01200000000000001,0.004357298474945592,-0.022727272727272596,-0.09213274541657013,-0.0072727272727273196,0.023480662983425438,0.05660377358490565,0.0033003300330034513,0.048289738430583595,-0.004037685060565233,-0.004566210045662156
1970-01-01 00:00:00.000000007,-0.0007072135785006761,-0.023302938196555045,0.01313937118723607,0.002309468822170757,-0.010558069381598867,-0.025179856115107868,-0.04187020237264483,0.0,-0.008645533141210415,-0.018867924528301883,0.014367816091954033,-0.007633587786259555,0.0,0.012213740458015376,-0.009287925696594423,-0.01635991820040905,0.007382550335570448,-0.006422018348623881,-0.009628610729023324,-0.005636978579481311,0.0,-0.01980198019801971,-0.005063291139240533,-0.006156552330694676,-0.011787819253438081,0.0017301038062282892,-0.006787330316742168,-0.0077821011673151474,-0.01545893719806768,0.015348288075560657,-0.01651982378854633,-0.019946808510638236,-0.03379279679857705,-0.007674597083653034,-0.014373716632443578,-0.0998810939357907,-0.009345794392523255,0.03150684931506853,-0.0021276595744680327,0.0032206119162641045,-0.006393861892583175,-0.01824473104749913,-0.012178619756427533,-0.022890778286461688,-0.016574585635359185,-0.03400503778337538,0.00917431192660545,-0.011111111111111072,0.0,-0.006954102920723293,-0.00982318271119842,-0.0023980815347721673,-0.013349514563106735,-0.011111111111111183,-0.008800880088008833,-0.016049382716049387,0.007555555555555538,-0.0026490066225165476,-0.009771986970683932,0.0,0.007418397626112627,0.0020746887966804906,-0.03565891472868221,-0.026501766784452263,-0.03379721669980118,-0.03082614056720101,-0.00453309156844961,0.001700680272108901,-0.039786511402231994,-0.012224938875305624,-0.011547344110854452,-0.05602343463932613,-0.04022988505747127,-0.01632653061224487,-0.03350515463917525,0.01730103806228378,0.009456264775413503,0.007109004739336511,-0.035573122529644174,0.00433839479392617,-0.05207280080889798,-0.08844580777096123,-0.003663003663003539,0.022941970310391246,0.10119047619047628,-0.0016447368421051989,0.0057581573896352545,-0.010810810810810811,-0.004587155963302836
1970-01-01 00:00:00.000000008,-0.03821656050955424,-0.03890041493775931,0.005558128763316406,-0.025345622119815503,-0.0030487804878047697,0.01845018450184499,0.036416605972323435,-0.017902813299232823,-0.04069767441860461,-0.014423076923077094,-0.008498583569405027,-0.03076923076923077,-0.021390374331550777,0.019607843137254832,-0.008333333333333304,-0.007623007623007605,-0.01332445036642238,-0.0184672206832871,-0.015277777777777835,-0.0022675736961451642,-0.024752475247524774,-0.005050505050505083,-0.0178117048346057,0.019469026548672552,-0.00994035785288272,-0.0017271157167529916,-0.02050113895216399,-0.030065359477124187,-0.018645731108930308,-0.037209302325581395,0.005599104143337197,-0.010176390773405708,0.027611596870685595,-0.0139211136890951,-0.025000000000000022,0.10039630118890353,0.0031446540880502027,-0.025232403718459584,-0.021321961620469176,-0.012841091492776902,-0.01287001287001277,-0.013457225248317939,-0.0328767123287671,-0.0053547523427041055,-0.03651685393258419,-0.029986962190351907,-0.018181818181818077,0.030898876404494402,-0.012371134020618513,-0.012605042016806678,-0.007936507936507908,-0.0024038461538461453,-0.024600246002460135,-0.014981273408239737,-0.021087680355160843,0.005018820577164407,-0.019408910454345008,-0.010624169986719778,0.00164473684210531,-0.02034883720930225,-0.03534609720176729,-0.020703933747411973,-0.011789924973204635,-0.004289721168124094,0.000685871056241405,-0.006785411365563876,-0.023679417122040025,-0.018675721561969394,0.011622031328954119,-0.014851485148514865,-0.03738317757009346,0.009697439875872682,-0.02844311377245501,-0.008298755186721962,-0.003555555555555534,-0.030612244897959107,-0.023419203747072515,0.1011764705882352,-0.004098360655737654,-0.017278617710583144,0.011200000000000099,0.0016825574873808868,-0.014705882352941235,-0.04089709762532989,-0.05405405405405406,-0.011532125205930832,-0.04389312977099247,-0.016393442622950838,-0.03686635944700467
1970-01-01 00:00:00.000000009,-0.00735835172921262,0.00863464651915824,0.036849378166743385,0.014184397163120366,0.02752293577981657,-0.0036231884057970065,0.007027406886858767,0.005208333333333259,0.025252525252525304,-0.007317073170731603,-0.02571428571428569,0.02539682539682553,0.0191256830601092,-0.01183431952662728,0.017857142857142794,0.016759776536312776,0.005401755570560329,0.02822201317027262,0.0028208744710860323,-0.008333333333333304,0.010152284263959421,0.040609137055837685,-0.005181347150259086,0.04861111111111116,0.0997322623828647,-0.01038062283737029,0.006976744186046657,0.0026954177897575704,0.02300000000000013,0.0,0.027839643652561197,0.0034270047978066653,0.07747424988804297,0.0117647058823529,0.014957264957265126,0.038415366146458574,0.012539184952978122,0.006811989100817373,0.0,0.006504065040650486,0.05541069100391138,0.03897369275738871,0.021246458923512845,0.043068640646029666,-0.005830903790087438,0.021505376344086002,0.04166666666666652,-0.019073569482288777,0.0041753653444676075,0.0028368794326241176,0.0,0.004819277108433662,0.01513240857503173,0.0038022813688214363,0.0,-0.012484394506866336,-0.0044984255510571725,0.03892617449664426,-0.0016420361247947435,0.09940652818991103,0.012213740458015376,0.0,0.01193058568329719,0.014250207125103609,0.0034270047978066653,0.035866780529461906,-0.001865671641791189,0.0,0.025474525474525445,0.012562814070351758,0.004854368932038833,-0.01690357280061472,-0.006163328197226536,-0.004184100418410108,0.017841213202497652,-0.010526315789473717,0.026378896882494063,-0.019230769230769162,0.00411522633744843,0.013186813186813362,-0.014240506329113889,-0.011478163493840898,0.0,-0.00687757909215958,0.040000000000000036,-0.013333333333333308,0.019960079840319445,0.009722222222222188,-0.011164274322168932
1970-01-01 00:00:00.000000010,0.018532246108228234,0.03424291064740492,0.02043536206130603,0.0,0.03125,0.0036363636363636598,0.01535240753663647,-0.02849740932642486,-0.0049261083743843415,-0.009828009828009798,-0.029325513196480912,-0.018575851393188847,-0.029490616621983934,-0.025449101796407136,-0.01754385964912275,-0.0013736263736264798,-0.016118200134318306,-0.04300091491308311,0.00843881856540074,-0.02177234530175709,-0.013819095477387022,-0.016260162601626105,0.0078125,0.01945364238410585,0.06999391357273277,-0.00874125874125875,-0.006928406466512715,-0.009408602150537626,0.0029325513196480912,-0.007246376811594013,-0.021668472372697867,0.002732240437158362,-0.007689110556940881,0.006201550387596955,-0.023157894736842155,-0.023121387283237094,-0.03869969040247678,-0.004059539918809141,0.0,-0.029079159935379795,-0.009882643607164954,0.0006251953735543214,0.004160887656033285,-0.00903225806451613,-0.026392961876832932,0.053947368421052744,-0.004444444444444473,-0.04444444444444451,-0.0020790020790020236,0.012729844413012614,0.0040000000000000036,-0.00959232613908878,-0.013664596273291973,0.0,-0.030612244897959107,-0.05941845764854614,0.007230004518752775,0.009043927648578753,0.023026315789473673,0.0161943319838056,-0.018099547511312264,0.00845665961945019,-0.006430868167202619,0.0037575559549092308,0.012295081967213184,0.07749381698268754,0.009345794392523477,0.00519031141868509,-0.026790063321967872,-0.012406947890818976,-0.016908212560386326,-0.02891754591637352,0.01705426356589146,0.03151260504201692,-0.0499561787905346,0.007092198581560183,-0.016355140186915973,-0.05882352941176461,0.020491803278688714,-0.010845986984815759,-0.009095773140717078,0.0039648824695552864,0.00746268656716409,0.027700831024930705,-0.098901098901099,0.0050675675675675436,-0.02935420743639927,0.0027510316368639653,0.0741935483870968
